Pathogen;Score.DrThu;Score.Juan;Score.Niwat
Avian encephalomielitis virus;0.46;0.9;2.0
Highly Pathogenic Avian Influenza virus;9.11;13.2;11.7
Listeria monocytogenes;0.46;1.9;0.5
Avian metapneumovirus;0.46;1.9;2.0
Avibacterium paragallinarum;3.64;1.9;3.9
Chicken Anaemia Virus;0.91;3.8;2.0
Chlamydia psittaci;0.46;0.9;0.5
Clostridium perfringens (Necrotic enteritis);8.20;4.7;4.9
Eimeria spp. (coccidiosis);3.77;2.8;4.9
Escherichia coli (colibacillosis);10.93;13.2;7.8
Erysipelothrix rhusiopathiae;0.46;1.9;0.5
Gallibacterium anatis;0.46;0.9;1.0
Infectious Bursal Disease virus (Gumboro);10.02;10.4;9.8
Infectious Bronchitis Virus;5.46;5.7;6.8
Infectious Laringotracheitis Virus;0.91;1.9;3.9
Marek's Disease virus;8.20;5.7;3.9
Mycoplasma gallisepticum;9.11;5.7;7.4
Newcastle Disease virus;10.02;3.8;9.8
Ornithobacterium rhinotracheale;1.82;3.8;2.0
Pasteurella multocida (acute) (fowl cholera);2.73;4.7;2.9
Pasteurella multocida (chronic pasteurellosis);0.46;1.9;0.9
Pseudomonas spp. ;0.91;1.9;0.5
Salmonella gallinarum ;2.73;1.9;3.9
Salmonella pullorum ;6.38;1.9;4.4
Staphylococcus aureus;1.96;2.9;2.4