FARMCODE;CYCLE;WEEK;S_Respiratory;S.Diarrhoea;S.CNS;S.Malaise;S.Leglesions;S.Suddendeath
75-077;1;15;0;0;0;0;0;0
75-077;1;16;0;0;0;0;0;0
75-077;1;17;0;0;0;0;0;0
75-077;1;18;0;0;0;0;0;0
75-078;1;1;0;0;0;1;0;0
75-078;1;2;0;0;0;0;0;0
75-078;1;3;0;0;0;0;0;0
75-078;1;4;0;0;0;0;0;0
75-078;1;5;0;0;0;0;0;0
75-078;1;6;0;1;0;1;0;0
75-078;1;7;0;0;0;0;0;0
75-078;1;8;0;0;0;0;0;0
75-078;1;9;0;0;0;0;0;0
75-078;1;10;0;0;0;0;0;0
75-078;1;11;0;0;0;0;0;0
75-078;1;12;0;0;0;0;0;0
75-078;1;13;0;0;0;0;0;0
75-078;1;14;0;0;0;0;0;0
75-078;1;15;0;0;0;0;0;0
75-078;1;16;0;0;0;0;0;0
75-078;1;17;0;0;0;0;0;0
75-079;1;1;0;0;0;1;0;0
75-079;1;2;0;0;0;1;0;0
75-079;1;3;0;0;0;1;0;0
75-079;1;4;0;0;0;1;0;0
75-079;1;5;0;0;0;1;0;0
75-079;1;6;0;0;0;1;0;0
75-079;1;7;0;0;0;0;0;0
75-079;1;8;0;0;0;0;0;0
75-079;1;9;0;0;0;0;0;0
75-079;1;10;0;0;0;1;0;0
75-079;1;11;0;0;0;0;0;0
75-079;1;12;0;0;0;0;0;0
75-079;1;13;0;0;0;0;0;0
75-079;1;14;0;0;0;0;0;0
75-079;1;15;0;0;0;0;0;0
75-079;1;16;0;0;0;0;0;0
75-079;1;17;0;0;0;0;0;0
75-079;2;1;0;0;0;1;0;0
75-079;2;2;0;0;0;1;0;0
75-079;2;3;0;0;0;1;0;0
75-079;2;4;0;1;0;1;0;0
75-079;2;5;1;0;0;1;0;0
75-079;2;6;0;1;0;1;0;0
75-079;2;7;0;0;0;0;0;0
75-079;2;8;0;1;0;1;0;0
75-079;2;9;0;0;0;0;0;0
75-079;2;10;0;0;0;0;0;0
75-079;2;11;0;0;0;0;0;0
75-079;2;12;0;0;0;0;0;0
75-079;2;13;0;0;0;0;0;0
75-079;2;14;0;0;0;0;0;0
75-079;2;15;0;0;0;1;0;0
75-079;2;16;0;0;0;1;0;0
75-079;2;17;0;0;0;1;0;0
75-080;1;1;0;0;0;0;0;1
75-080;1;2;0;0;0;1;0;0
75-080;1;3;0;1;1;0;0;0
75-080;1;4;1;0;0;0;0;0
75-080;1;5;1;1;0;1;0;0
75-080;1;6;0;0;0;0;0;0
75-080;1;7;0;0;0;1;0;0
75-080;1;8;0;1;0;1;0;0
75-080;1;9;1;1;0;1;0;0
75-080;1;10;1;1;0;1;0;0
75-080;1;11;1;1;0;1;0;0
75-080;1;12;1;1;0;1;0;0
75-080;1;13;1;0;0;1;0;0
75-080;1;14;0;0;0;0;0;0
75-080;1;15;0;0;0;0;0;0
75-080;1;16;1;0;0;1;0;0
75-080;1;17;0;0;0;0;0;0
75-080;1;18;0;0;0;1;0;0
75-080;1;19;0;0;0;0;0;0
75-080;1;20;0;0;0;0;0;0
75-080;1;21;0;0;0;0;0;0
75-080;1;22;0;0;0;0;0;0
75-080;1;23;0;0;0;0;0;0
75-080;1;24;0;0;0;0;0;0
75-080;2;1;0;0;0;0;0;0
75-080;2;2;0;0;0;0;0;0
75-080;2;3;1;0;0;0;0;0
75-080;2;4;1;1;0;0;0;0
75-080;2;5;0;0;0;0;0;0
75-080;2;6;0;0;0;0;0;0
75-080;2;7;1;1;0;1;0;0
75-080;2;8;1;1;0;1;0;0
75-080;2;9;1;0;0;1;0;0
75-080;2;10;0;0;0;0;0;0
75-080;2;11;0;0;0;0;0;0
75-080;2;12;0;0;0;0;0;0
75-080;2;13;1;0;0;0;0;0
75-080;2;14;1;0;0;0;0;0
75-080;2;15;0;0;0;0;0;0
75-080;2;16;0;0;0;0;0;0
75-080;2;17;0;0;0;0;0;0
75-080;2;18;0;0;0;0;0;0
75-080;2;19;0;0;0;0;0;0
75-080;2;20;0;0;0;0;0;0
75-080;2;21;0;0;0;0;0;0
75-080;3;1;0;0;0;0;0;1
75-080;3;2;0;0;0;0;0;0
75-080;3;3;0;0;0;1;0;0
75-080;3;4;0;0;0;1;0;0
75-080;3;5;0;0;0;0;0;0
75-080;3;6;0;0;0;0;0;0
75-080;3;7;0;0;0;0;0;0
75-080;3;8;0;0;0;0;0;0
75-080;3;9;0;0;0;0;0;0
75-081;1;1;0;0;0;1;0;0
75-081;1;2;0;0;0;0;0;0
75-081;1;3;0;0;0;0;0;0
75-081;1;4;0;0;0;1;0;0
75-081;1;5;0;0;0;0;0;0
75-081;1;6;0;0;0;0;0;0
75-081;1;7;0;0;0;1;0;0
75-081;1;8;0;0;0;0;0;0
75-081;1;9;0;0;0;0;0;0
75-081;1;10;0;0;0;0;0;1
75-081;1;11;0;0;0;0;0;0
75-081;1;12;0;0;0;0;0;0
75-081;1;13;0;0;0;0;0;0
75-081;1;14;0;0;0;0;0;0
75-081;1;15;0;0;0;0;0;0
75-081;1;16;0;0;0;0;0;0
75-081;1;17;0;0;0;0;0;0
75-081;2;1;0;0;0;1;0;0
75-081;2;2;0;0;0;1;0;0
75-081;2;3;0;0;0;1;0;0
75-081;2;4;0;0;0;0;0;0
75-081;2;5;0;0;0;0;0;0
75-081;2;6;0;0;0;0;0;0
75-081;2;7;0;0;0;0;0;0
75-081;2;8;0;0;0;1;0;0
75-081;2;9;0;0;0;1;0;0
75-081;2;10;0;0;0;0;0;1
75-081;2;11;0;0;0;0;0;0
75-081;2;12;0;0;0;0;0;0
75-081;2;13;0;0;0;0;0;0
75-081;2;14;0;0;0;0;0;0
75-081;2;15;0;0;0;0;0;0
75-081;2;16;0;0;0;0;0;0
75-081;2;17;0;0;0;0;0;0
75-081;2;18;0;0;0;0;0;0
75-082;1;1;0;0;0;1;0;0
75-082;1;2;0;0;0;1;0;0
75-082;1;3;0;0;0;0;0;0
75-082;1;4;0;0;0;0;0;0
75-082;1;5;0;0;0;1;0;0
75-082;1;6;0;0;0;1;0;0
75-082;1;7;0;0;0;0;0;0
75-082;1;8;0;0;0;0;0;0
75-082;1;9;0;0;0;0;0;0
75-082;1;10;0;0;0;0;0;0
75-082;1;11;0;0;0;0;0;0
75-082;1;12;1;0;0;0;0;0
75-082;1;13;0;0;0;0;0;0
75-082;1;14;0;0;0;1;0;0
75-082;1;15;0;0;0;0;0;0
75-082;1;16;0;0;0;0;0;0
75-082;1;17;0;0;0;0;0;0
75-082;1;18;0;0;0;0;0;0
75-082;1;19;0;0;0;0;0;0
75-083;1;1;0;0;0;0;0;1
75-083;1;2;0;0;0;0;0;1
75-083;1;3;0;0;0;0;0;0
75-083;1;4;0;0;0;1;0;0
75-083;1;5;0;0;0;1;0;0
75-083;1;6;0;0;0;1;0;0
75-083;1;7;0;0;0;0;0;0
75-083;1;8;0;0;0;0;0;0
75-083;1;9;0;0;0;0;0;0
75-083;1;10;0;0;0;0;0;0
75-083;1;11;0;0;0;0;0;0
75-083;1;12;0;0;0;0;0;0
75-083;1;13;0;0;0;0;0;0
75-083;1;14;0;0;0;0;0;0
75-083;1;15;0;0;0;0;0;0
75-083;1;16;0;0;0;0;0;0
75-083;1;17;0;0;0;0;0;0
75-083;1;18;0;0;0;0;0;0
75-083;1;19;0;0;0;0;0;0
75-083;1;20;0;0;0;0;0;0
75-083;1;21;0;0;0;0;0;0
75-083;1;22;0;0;0;0;0;0
75-083;1;23;0;0;0;0;0;0
75-083;1;24;0;0;0;0;0;0
75-085;1;1;0;1;0;0;0;0
75-085;1;2;0;0;0;1;0;0
75-085;1;3;0;0;0;1;0;0
75-085;1;4;0;0;0;1;0;0
75-085;1;5;0;0;0;1;0;0
75-085;1;6;0;0;0;0;0;0
75-085;1;7;0;0;0;0;0;0
75-085;1;8;0;0;0;0;0;0
75-085;1;9;0;0;0;1;0;0
75-086;1;1;0;0;0;1;0;0
75-086;1;2;1;0;0;1;0;1
75-086;1;3;0;0;0;0;0;1
75-086;1;4;0;0;0;1;1;0
75-086;1;5;0;0;0;1;1;0
75-086;1;6;1;1;0;1;0;0
75-086;1;7;0;0;0;1;0;1
75-086;1;8;0;0;0;0;0;0
75-086;1;9;0;0;0;0;0;1
75-086;1;10;0;0;0;0;0;0
75-086;1;11;1;0;0;0;0;0
75-086;1;12;0;0;0;0;0;0
75-086;1;13;0;0;0;0;0;1
75-086;1;14;0;0;0;0;0;1
75-086;1;15;0;0;0;0;0;0
75-086;1;16;0;0;0;0;0;0
75-086;1;17;0;0;0;0;0;1
75-086;1;18;0;0;0;0;0;0
75-086;1;19;0;0;0;0;0;0
75-086;1;20;0;0;0;0;0;0
75-086;1;21;0;0;0;0;0;0
75-086;2;1;0;0;0;1;0;0
75-086;2;2;0;0;0;1;0;0
75-086;2;3;1;0;0;1;0;0
75-086;2;4;0;1;0;1;0;0
75-086;2;5;0;1;0;1;0;0
75-086;2;6;0;0;0;0;0;0
75-086;2;7;0;0;0;0;0;0
75-086;2;8;0;0;0;0;0;0
75-086;2;9;0;0;0;1;0;0
75-086;2;10;0;0;0;1;0;0
75-086;2;11;0;0;0;0;0;0
75-086;2;12;0;0;0;0;0;0
75-086;2;13;0;0;0;0;0;0
75-086;2;14;0;0;0;1;0;0
75-086;2;15;0;0;0;1;0;0
75-086;2;16;0;0;0;1;0;0
75-086;2;17;0;0;0;1;0;0
75-086;2;18;0;0;0;0;0;0
75-087;1;1;0;0;0;0;0;1
75-087;1;2;0;0;0;0;0;1
75-087;1;3;0;0;0;0;0;1
75-087;1;4;0;0;0;0;0;0
75-087;1;5;0;0;0;0;0;1
75-087;1;6;0;0;0;0;0;1
75-087;1;7;0;0;0;0;0;0
75-087;1;8;0;0;0;0;0;1
75-087;1;9;0;0;0;0;0;0
75-087;1;10;0;0;0;0;0;0
75-087;1;11;0;0;0;0;0;0
75-087;1;12;0;0;0;0;0;0
75-087;1;13;0;0;0;0;0;0
75-087;1;14;0;0;0;0;0;0
75-087;1;15;0;0;0;0;0;0
75-087;1;16;0;0;0;0;0;0
75-087;1;17;0;0;0;0;0;0
75-087;1;18;0;0;0;0;0;0
75-087;1;19;0;0;0;0;0;0
75-087;2;1;0;0;0;0;0;1
75-087;2;2;0;0;0;0;0;1
75-087;2;3;0;0;0;1;0;0
75-087;2;4;0;0;0;1;0;0
75-087;2;5;0;0;0;1;0;0
75-087;2;6;0;0;0;1;0;0
75-087;2;7;0;0;0;0;0;0
75-087;2;8;0;0;0;1;0;0
75-087;2;9;0;0;0;1;0;0
75-087;2;10;0;0;0;1;0;0
75-087;2;11;0;0;0;1;0;0
75-087;2;12;0;0;0;1;0;0
75-087;2;13;0;0;0;1;0;0
75-087;2;14;0;0;0;1;0;0
75-087;2;15;0;0;0;1;0;0
75-087;2;16;0;0;0;1;0;0
75-087;2;17;0;0;0;1;0;0
75-087;2;18;0;0;0;0;0;0
75-087;2;19;0;0;0;0;0;0
75-087;2;20;0;0;0;0;0;0
75-088;1;1;0;0;0;0;0;1
75-088;1;2;0;0;0;1;0;0
75-088;1;3;1;0;0;0;0;0
75-088;1;4;1;0;0;0;0;0
75-088;1;5;0;0;0;0;0;1
75-088;1;6;0;0;0;1;0;0
75-088;1;7;0;0;0;0;0;0
75-088;1;8;0;0;0;0;0;0
75-088;1;9;1;0;0;0;0;0
75-088;1;10;0;0;0;0;0;0
75-088;1;11;0;0;0;0;0;0
75-088;1;12;0;0;0;0;0;0
75-088;1;13;0;0;0;0;0;0
75-088;1;14;0;0;0;0;0;0
75-088;1;15;0;0;0;0;0;0
75-088;1;16;0;0;0;0;0;0
75-088;1;17;0;0;0;0;0;0
75-088;1;18;0;0;0;0;0;0
75-088;2;1;0;0;0;0;0;1
75-088;2;2;0;0;0;0;0;1
75-088;2;3;0;0;0;0;0;1
75-088;2;5;0;0;0;0;0;0
75-088;2;6;0;0;0;1;0;0
75-088;2;7;0;0;0;1;0;0
75-088;2;8;0;0;0;1;0;0
75-088;2;9;0;0;0;1;0;0
75-089;1;1;0;0;0;0;0;1
75-089;1;2;0;1;0;0;0;0
75-089;1;3;0;1;0;1;0;0
75-089;1;4;0;0;0;0;0;0
75-089;1;5;0;0;0;0;0;1
75-089;1;6;0;0;0;0;0;0
75-089;1;7;0;1;0;1;0;0
75-090;1;1;0;0;0;0;0;0
75-090;1;2;0;0;0;0;0;0
75-090;1;3;0;0;0;0;0;0
75-090;1;4;0;0;0;0;0;0
75-090;1;5;0;0;0;0;0;0
75-090;1;6;1;0;0;0;0;0
75-090;1;7;0;0;0;0;0;0
75-090;1;8;0;0;0;0;0;0
75-090;1;9;0;0;0;0;0;0
75-090;1;10;0;0;0;0;0;0
75-090;1;11;0;0;0;0;0;0
75-090;1;12;0;0;0;0;0;0
75-090;1;13;0;0;0;0;0;0
75-090;1;14;0;0;0;0;0;0
75-090;1;15;0;0;0;0;0;0
75-090;1;16;0;0;0;0;0;0
75-090;1;17;0;0;0;0;0;0
75-090;1;18;0;0;0;0;0;0
75-090;1;19;0;0;0;0;0;0
75-090;1;20;0;0;0;0;0;0
75-090;1;21;0;0;0;0;0;0
75-091;1;1;0;1;0;1;1;0
75-091;1;2;0;0;0;0;0;0
75-091;1;3;0;0;0;0;0;0
75-091;1;4;0;0;0;0;0;0
75-091;1;5;0;0;0;0;0;0
75-091;1;6;0;0;0;0;0;0
75-091;1;7;0;0;0;0;0;0
75-091;1;8;0;0;0;0;0;0
75-091;1;9;0;0;0;0;0;0
75-091;1;10;0;0;0;0;0;0
75-091;1;11;0;0;0;0;0;0
75-091;1;12;0;0;0;0;0;0
75-091;1;13;0;0;0;0;0;0
75-091;1;14;0;0;0;0;0;0
75-091;1;15;0;0;0;0;0;0
75-091;1;16;0;0;0;0;0;0
75-091;2;1;0;0;0;0;0;0
75-091;2;2;0;0;0;0;0;0
75-091;2;3;0;0;0;0;0;0
75-091;2;4;0;0;0;0;0;0
75-091;2;5;0;0;0;1;0;0
75-091;2;6;0;0;0;0;0;0
75-091;2;7;0;0;0;0;0;0
75-091;2;8;0;0;0;0;0;0
75-091;2;9;0;0;0;1;0;0
75-091;2;10;0;0;0;0;0;0
75-091;2;11;0;0;0;0;0;0
75-091;2;12;0;0;0;0;0;0
75-091;2;13;0;0;0;0;0;0
75-091;2;14;0;0;0;0;0;0
75-091;2;15;0;0;0;0;0;0
75-091;2;16;0;0;0;0;0;0
75-091;2;17;0;0;0;0;0;0
75-091;2;18;0;0;0;0;0;0
75-091;2;19;0;0;0;0;0;0
75-091;2;20;0;0;0;0;0;0
75-091;2;21;0;0;0;0;0;0
75-092;1;1;0;0;0;0;0;0
75-092;1;2;0;0;0;0;0;0
75-092;1;3;0;0;0;0;0;0
75-092;1;4;0;0;0;0;0;0
75-092;1;5;0;0;0;0;0;0
75-092;1;6;0;0;0;0;0;0
75-092;1;7;0;0;0;0;0;0
75-093;1;1;0;0;0;0;0;0
75-093;1;2;0;0;0;0;0;0
75-093;1;3;0;0;0;0;0;0
75-093;1;4;0;0;0;0;0;0
75-093;1;5;0;0;0;0;0;0
75-093;1;6;0;0;0;0;0;0
75-093;1;7;0;0;0;0;0;0
75-093;1;8;0;0;0;0;0;0
75-093;1;9;0;0;0;0;0;0
75-093;1;10;0;0;0;0;0;0
75-093;1;11;0;0;0;0;0;0
75-093;1;12;0;0;0;0;0;0
75-093;1;13;0;0;0;0;0;0
75-093;1;14;0;0;0;0;0;0
75-093;1;15;0;0;0;0;0;0
75-093;1;16;0;0;0;0;0;0
75-094;1;1;0;0;0;0;0;1
75-094;1;2;0;0;0;0;0;0
75-094;1;3;0;0;0;0;0;0
75-094;1;4;0;0;0;0;0;0
75-094;1;5;0;0;0;0;0;0
75-094;1;6;0;0;0;0;0;0
75-094;1;7;0;0;0;0;0;0
75-094;1;8;0;0;0;0;0;0
75-094;1;9;0;0;0;0;0;1
75-094;1;10;0;0;0;0;0;0
75-094;1;11;0;0;0;0;0;0
75-094;1;12;0;0;0;0;0;0
75-094;1;13;0;0;0;0;0;0
75-094;1;14;0;0;0;0;0;0
75-094;1;15;0;0;0;0;0;0
75-094;1;16;0;0;0;0;0;0
75-094;1;17;0;0;0;0;0;0
75-094;1;18;0;0;0;0;0;0
75-095;1;1;0;0;0;0;0;1
75-095;1;2;0;0;0;0;0;1
75-095;1;3;0;0;0;0;0;1
75-095;1;4;0;0;0;1;0;0
75-095;1;5;0;0;0;1;0;0
75-095;1;6;0;0;0;1;0;0
75-095;1;7;0;0;0;1;0;0
75-095;1;8;0;0;0;1;0;0
75-095;1;9;0;0;0;0;0;0
75-095;1;10;0;0;0;0;0;0
75-095;1;11;0;0;0;1;0;0
75-095;1;12;0;0;0;0;0;0
75-095;1;13;0;0;0;0;0;0
75-095;1;14;0;0;0;0;0;0
75-095;1;15;0;0;0;0;0;0
75-095;1;16;0;0;0;0;0;0
75-095;2;1;0;0;0;0;0;1
75-095;2;2;0;0;0;0;0;1
75-095;2;3;0;0;0;0;0;1
75-095;2;4;0;0;0;1;0;0
75-095;2;5;0;0;0;1;0;0
75-095;2;6;0;0;0;0;0;0
75-095;2;7;0;0;0;0;0;0
75-095;2;8;0;0;0;0;0;0
75-095;2;9;0;0;0;0;0;0
75-095;2;10;0;0;0;0;0;0
75-095;2;11;0;0;0;0;0;0
75-095;2;12;0;0;0;0;0;0
75-095;2;13;0;0;0;0;0;0
75-095;2;14;0;0;0;0;0;0
75-095;2;15;0;0;0;0;0;1
75-096;1;1;0;0;0;0;0;1
75-096;1;2;0;0;0;0;0;1
75-096;1;3;0;0;0;1;0;0
75-096;1;4;0;0;0;0;0;0
75-096;1;5;0;1;0;1;0;0
75-096;1;6;0;0;0;0;0;1
75-096;1;7;1;1;0;1;0;0
75-096;1;8;1;0;0;1;0;0
75-096;1;9;0;0;0;1;0;0
75-096;1;10;0;0;0;0;0;0
75-096;1;11;0;0;0;0;0;0
75-096;1;12;0;0;0;0;0;0
75-096;1;13;0;0;0;0;0;0
75-096;1;14;0;0;0;0;0;0
75-096;1;15;0;0;0;0;0;0
75-096;1;16;0;0;0;0;0;0
75-096;1;17;0;0;0;0;0;0
75-096;1;18;0;0;0;0;0;0
75-096;1;19;0;0;0;0;0;0
75-096;1;20;0;0;0;0;0;0
75-096;1;21;0;0;0;0;0;0
75-096;1;22;0;0;0;0;0;0
75-097;1;1;0;0;0;1;0;1
75-097;1;2;0;1;0;1;0;0
75-097;1;3;1;0;0;0;0;0
75-097;1;4;0;0;0;0;0;0
75-097;1;5;0;0;0;1;0;0
75-097;1;6;0;0;0;0;0;0
75-097;1;7;0;1;0;1;0;0
75-097;1;8;0;0;0;0;0;0
75-097;1;9;0;0;0;0;0;0
75-097;1;10;0;0;0;1;0;0
75-097;1;11;0;0;0;1;0;0
75-097;1;12;0;0;0;0;0;0
75-097;1;13;0;0;0;0;0;0
75-097;1;14;0;0;0;0;0;0
75-097;1;15;0;1;0;1;0;0
75-097;1;16;0;1;0;1;0;0
75-097;1;17;0;0;0;0;0;0
75-097;1;18;0;0;0;0;0;0
75-097;1;19;0;1;0;1;0;0
75-097;1;20;0;0;0;0;0;0
75-098;1;1;0;0;0;0;0;1
75-098;1;2;0;0;0;0;0;1
75-098;1;3;0;0;0;0;0;0
75-098;1;4;0;0;0;0;0;1
75-098;1;5;0;0;0;0;0;1
75-098;1;6;0;0;0;0;0;1
75-098;1;7;0;0;0;0;0;1
75-098;1;8;1;1;1;1;1;0
75-098;1;9;0;0;0;0;0;0
75-098;1;10;1;0;0;1;1;0
75-098;1;11;0;0;0;0;0;0
75-098;1;12;0;0;0;1;0;0
75-098;1;13;0;0;0;1;0;0
75-098;1;14;0;0;0;0;0;0
75-098;1;15;0;0;0;0;0;0
75-098;1;16;0;0;0;0;0;0
75-098;1;17;0;0;0;0;0;0
75-098;1;18;0;0;0;0;0;0
75-098;1;19;0;0;0;0;0;0
75-099;1;1;0;0;0;1;0;0
75-099;1;2;0;0;0;1;0;0
75-099;1;3;0;0;0;1;0;0
75-099;1;4;0;0;0;0;0;0
75-099;1;5;0;0;0;1;0;0
75-099;1;6;0;0;0;0;0;0
75-099;1;7;1;0;0;1;0;0
75-099;1;8;0;0;0;0;0;0
75-099;1;9;0;0;0;0;0;0
75-099;1;10;0;0;0;0;0;0
75-099;1;11;0;0;0;0;0;0
75-099;1;12;0;0;0;0;0;0
75-099;1;13;0;0;0;0;0;0
75-099;1;14;0;0;0;0;0;0
75-099;1;15;0;0;0;0;0;0
75-099;1;16;0;0;0;0;0;0
75-100;1;1;0;1;0;0;0;0
75-100;1;2;0;0;0;1;0;0
75-100;1;3;0;0;0;1;0;0
75-100;1;4;0;0;0;0;0;0
75-100;1;5;0;0;0;1;0;0
75-100;1;6;0;0;0;0;0;0
75-100;1;7;0;0;0;0;0;0
75-100;1;8;0;0;0;0;0;0
75-100;1;9;0;0;0;0;0;0
75-100;1;10;0;0;0;0;0;0
75-100;1;11;0;0;0;0;0;0
75-100;1;12;0;0;0;0;0;0
75-100;1;13;0;0;0;0;0;0
75-100;1;14;0;0;0;0;0;0
75-100;1;15;0;0;0;0;0;0
75-100;1;16;0;0;0;0;0;0
75-100;1;17;0;0;0;0;0;0
75-100;1;18;0;0;0;0;0;0
75-101;1;1;0;0;0;0;0;0
75-101;1;2;0;0;0;0;0;0
75-101;1;3;0;0;0;0;0;0
75-101;1;4;0;0;0;0;0;1
75-101;1;5;0;0;0;1;0;0
75-101;1;6;0;0;0;0;0;0
75-101;1;7;0;0;0;0;0;0
75-101;1;8;0;0;0;0;0;0
75-101;1;9;0;0;0;1;0;0
75-101;1;10;0;0;0;1;0;0
75-102;1;1;0;1;0;0;0;0
75-102;1;2;0;0;0;0;0;0
75-102;1;3;0;0;0;1;0;0
75-102;1;4;0;0;0;0;0;0
75-102;1;5;0;0;0;0;0;0
75-102;1;6;0;0;0;0;0;0
75-102;1;7;0;0;0;0;0;0
75-102;1;8;0;0;0;0;0;0
75-102;1;9;0;0;0;1;0;0
75-102;1;10;0;0;0;0;0;0
75-102;1;11;0;0;0;0;0;0
75-102;1;12;0;0;0;1;0;0
75-102;1;13;0;0;0;0;0;0
75-102;1;14;0;0;0;0;0;0
75-102;1;15;0;0;0;0;0;0
75-102;1;16;0;0;0;0;0;0
75-102;1;17;0;0;0;0;0;0
75-102;1;18;0;0;0;0;0;0
75-102;1;19;0;0;0;0;0;0
75-103;1;1;0;0;0;0;0;1
75-103;1;2;0;0;0;0;0;1
75-103;1;3;0;0;0;0;0;0
75-103;1;4;0;0;0;1;0;0
75-103;1;5;0;0;0;0;0;0
75-103;1;6;0;0;0;0;0;0
75-103;1;7;0;0;0;1;0;0
75-103;1;8;0;0;0;0;0;0
75-103;1;9;0;0;0;0;0;0
75-103;1;10;0;0;0;0;0;0
75-103;1;11;1;0;0;1;0;0
75-103;1;12;0;0;0;0;0;0
75-103;1;13;0;0;0;0;0;0
75-103;1;14;0;0;0;0;0;0
75-103;1;15;0;1;0;0;0;0
75-103;1;16;0;0;0;0;0;0
75-103;1;17;0;0;0;0;0;0
75-103;1;18;0;0;0;0;0;0
75-103;1;19;0;1;0;1;0;0
75-103;1;20;0;0;0;0;0;0
75-104;1;1;0;0;0;1;0;0
75-104;1;2;0;0;0;0;0;0
75-104;1;3;0;0;0;0;0;0
75-104;1;4;0;0;0;1;0;0
75-104;1;5;0;0;0;1;0;0
75-104;1;6;0;0;0;0;0;0
75-104;1;7;0;0;0;0;0;0
75-104;1;8;0;0;0;0;0;0
75-104;1;9;0;0;0;1;0;0
75-104;1;10;0;0;0;0;0;0
75-104;1;11;0;0;0;0;0;0
75-104;1;12;0;0;0;0;0;0
75-104;1;13;0;0;0;0;0;0
75-104;1;14;0;0;0;0;0;0
75-104;1;15;0;0;0;0;0;0
75-104;1;16;0;0;0;0;0;0
75-104;1;17;0;0;0;0;0;0
75-104;1;18;0;0;0;0;0;0
75-104;1;19;0;0;0;0;0;0
75-105;1;1;0;0;0;0;0;0
75-105;1;2;0;0;0;0;0;0
75-105;1;3;0;0;0;0;0;0
75-105;1;4;0;0;0;0;0;0
75-105;1;5;0;0;0;1;0;0
75-105;1;6;0;0;0;1;0;0
75-105;1;7;0;0;0;1;0;0
75-105;1;8;0;0;0;1;0;0
75-105;1;9;0;0;0;1;0;0
75-105;1;10;0;0;0;0;0;0
75-105;1;11;0;0;0;0;0;0
75-105;1;12;0;0;0;0;0;0
75-105;1;13;0;0;0;0;0;0
75-105;1;14;0;0;0;0;0;0
75-105;1;15;0;0;0;0;0;0
75-105;1;16;0;0;0;0;0;0
75-105;1;17;0;0;0;0;0;0
75-105;1;18;0;0;0;0;0;0
75-105;1;19;0;0;0;0;0;0
75-105;1;20;0;0;0;0;0;0
75-105;1;21;0;0;0;0;0;0
75-105;1;22;0;0;0;0;0;0
75-105;1;23;0;0;0;0;0;0
75-105;1;24;0;0;0;0;0;0
75-106;1;1;0;0;0;1;0;0
75-106;1;2;0;0;0;1;0;0
75-106;1;3;0;0;0;0;0;0
75-106;1;4;0;0;0;1;0;0
75-106;1;5;0;0;0;0;0;0
75-106;1;6;0;0;0;0;0;0
75-106;1;7;0;0;0;0;0;0
75-106;1;8;0;0;0;0;0;1